"waterSampleID","referenceAirSampleID","equilibratedAirSampleID","collectDate","processedDate","stationID","barometricPressure","waterTemp","concentrationCO2Air","concentrationCO2Gas","concentrationCH4Air","concentrationCH4Gas","concentrationN2OAir","concentrationN2OGas","waterVolume","gasVolume","volH2OSource","volGasSource"
"BARC.C0.20160810","BARC.C0.20160810.AIR","BARC.C0.20160810.WAT","2016-08-10T12:50Z","2016-08-10T14:23Z","BARC.AOS.buoy.c0",101.8,30.3,735.66314,1682.21592,3.32818,46.28253,0.89124,0.77979,37.5,24,0,0
"BARC.IN.20160810","BARC.C0.20160810.AIR","BARC.IN.20160810.WAT","2016-08-10T13:20Z","2016-08-10T14:23Z","BARC.AOS.inlet",101.8,30.3,735.66314,1661.76813,3.32818,34.29168,0.89124,0.89792,38,24,0,0
"BARC.OT.20160810","BARC.C0.20160810.AIR","BARC.OT.20160810.WAT","2016-08-10T13:48Z","2016-08-10T14:23Z","BARC.AOS.outlet",101.8,30.3,735.66314,2208.00847,3.32818,37.07543,0.89124,0.89422,38,22,0,0
"BARC.C0.20160907","BARC.C0.20160907.AIR","BARC.C0.20160907.WAT","2016-09-07T14:38Z","2016-09-07T15:55Z","BARC.AOS.buoy.c0",102.1,31.5,621.41048,1871.80337,2.60439,47.43599,0.76064,1.14032,38,24,0,0
"BARC.IN.20160907","BARC.C0.20160907.AIR","BARC.IN.20160907.WAT","2016-09-07T15:04Z","2016-09-07T15:57Z","BARC.AOS.inlet",102.1,31.5,621.41048,1431.9297,2.60439,42.36358,0.76064,1.27659,38,24,0,0
"BARC.OT.20160907","BARC.C0.20160907.AIR","BARC.OT.20160907.WAT","2016-09-07T15:35Z","2016-09-07T15:59Z","BARC.AOS.outlet",102.1,31.5,621.41048,1472.46789,2.60439,34.20314,0.76064,0.93923,35,24,0,0
"BARC.C0.20161012","BARC.C0.20161012.AIR","BARC.C0.20161012.WAT","2016-10-12T14:25Z","2016-10-12T15:47Z","BARC.AOS.buoy.c0",102,25.6,469.9,1417,1.14,19.77,0.804,0.943,41,20,0,0
"BARC.IN.20161012","BARC.C0.20161012.AIR","BARC.IN.20161012.WAT","2016-10-12T14:56Z","2016-10-12T15:47Z","BARC.AOS.inlet",102,25.6,469.9,1279.9,1.14,21.48,0.804,1.012,41,18,0,0
"BARC.OT.20161012","BARC.C0.20161012.AIR","BARC.OT.20161012.WAT","2016-10-12T15:30Z","2016-10-12T15:47Z","BARC.AOS.outlet",102,25.6,469.9,1217.9,1.14,19.76,0.804,1.011,42,18,0,0
"BARC.C0.20161102","BARC.C0.20161102.AIR","BARC.C0.20161102.WAT","2016-11-02T15:05Z","2016-11-02T16:20Z","BARC.AOS.buoy.c0",102.3,25.3,NA,NA,NA,NA,NA,NA,21,19,0,0
"BARC.IN.20161102","BARC.C0.20161102.AIR","BARC.IN.20161102.WAT","2016-11-02T15:30Z","2016-11-02T16:20Z","BARC.AOS.inlet",102.3,25.3,NA,NA,NA,NA,NA,NA,21,19,0,0
"BARC.OT.20161102","BARC.C0.20161102.AIR","BARC.OT.20161102.WAT","2016-11-02T15:58Z","2016-11-02T16:20Z","BARC.AOS.outlet",102.3,25.3,NA,NA,NA,NA,NA,NA,21,19,0,0
"BARC.IN.20161213","BARC.C0.20161213.AIR","BARC.IN.20161213.WAT","2016-12-13T15:29Z","2016-12-13T16:47Z","BARC.AOS.inlet",101.9,23,NA,NA,NA,NA,NA,NA,40,20,0,0
"BARC.OT.20161213","BARC.C0.20161213.AIR","BARC.OT.20161213.WAT","2016-12-13T16:01Z","2016-12-13T16:47Z","BARC.AOS.outlet",101.9,23,NA,NA,NA,NA,NA,NA,41,19,0,0
"BARC.C0.20161213","BARC.C0.20161213.AIR","BARC.C0.20161213.WAT","2016-12-13T16:41Z","2016-12-13T16:47Z","BARC.AOS.buoy.c0",101.9,23,NA,NA,NA,NA,NA,NA,40,20,0,0
